"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 28 15:21:31 UTC 2023","Tue Feb 28 15:21:31 UTC 2023","18","firefox","logIn.spec.js","Log in","","","Log in with invalid credentials",""
"failed","Tue Feb 28 15:21:43 UTC 2023","Tue Feb 28 15:21:43 UTC 2023","17","webkit","becomeBetaTesterMessage.spec.js","Become a beta tester message","","","Should not send Become a beta tester message due to invalid credentials",""
"failed","Tue Feb 28 15:21:46 UTC 2023","Tue Feb 28 15:21:46 UTC 2023","24","webkit","changingPricingCountry.spec.js","Changing pricing country","","","Should change pricings for country",""
"failed","Tue Feb 28 15:21:30 UTC 2023","Tue Feb 28 15:21:30 UTC 2023","18","firefox","logIn.spec.js","Log in","","","Log in with valid credentials",""
"failed","Tue Feb 28 15:21:36 UTC 2023","Tue Feb 28 15:21:36 UTC 2023","17","firefox","savingsCalculator.spec.js","Savings calculator","","","Should show calculated user savings",""
"failed","Tue Feb 28 15:22:02 UTC 2023","Tue Feb 28 15:22:02 UTC 2023","20","webkit","supportCenterSearch.spec.js","Support center search","","","Should show search results for ""programming""",""
"failed","Tue Feb 28 15:21:57 UTC 2023","Tue Feb 28 15:21:57 UTC 2023","20","webkit","partnershipMessage.spec.js","Partnership message","","","Should not send Partnership due to invalid credentials",""
"failed","Tue Feb 28 15:21:32 UTC 2023","Tue Feb 28 15:21:32 UTC 2023","19","firefox","numberLookup.spec.js","Look up number","","","Should show phone number information correctly",""
"passed","Tue Feb 28 15:19:39 UTC 2023","Tue Feb 28 15:19:44 UTC 2023","5341","chromium","blogSearch.spec.js","Blog search","","","Should show search results for ""programming""",""
"passed","Tue Feb 28 15:21:04 UTC 2023","Tue Feb 28 15:21:08 UTC 2023","3644","chromium","signUp.spec.js","Sign up","","","Should sign up",""
"failed","Tue Feb 28 15:21:42 UTC 2023","Tue Feb 28 15:21:42 UTC 2023","17","webkit","becomeBetaTesterMessage.spec.js","Become a beta tester message","","","Should send Become a beta tester message",""
"passed","Tue Feb 28 15:20:01 UTC 2023","Tue Feb 28 15:20:05 UTC 2023","4365","chromium","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should download CSV of prices",""
"failed","Tue Feb 28 15:21:50 UTC 2023","Tue Feb 28 15:21:50 UTC 2023","21","webkit","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should download CSV of prices",""
"passed","Tue Feb 28 15:19:28 UTC 2023","Tue Feb 28 15:19:34 UTC 2023","5835","chromium","becomeBetaTesterMessage.spec.js","Become a beta tester message","","","Should send Become a beta tester message",""
"passed","Tue Feb 28 15:19:44 UTC 2023","Tue Feb 28 15:19:48 UTC 2023","4065","chromium","blogSearch.spec.js","Blog search","","","Should show empty search results for ""blablabla""",""
"passed","Tue Feb 28 15:21:08 UTC 2023","Tue Feb 28 15:21:12 UTC 2023","3842","chromium","signUp.spec.js","Sign up","","","Should not sign up due to invalid credentials",""
"passed","Tue Feb 28 15:19:34 UTC 2023","Tue Feb 28 15:19:39 UTC 2023","4778","chromium","becomeBetaTesterMessage.spec.js","Become a beta tester message","","","Should not send Become a beta tester message due to invalid credentials",""
"failed","Tue Feb 28 15:21:25 UTC 2023","Tue Feb 28 15:21:25 UTC 2023","28","firefox","contactUsMessage.spec.js","Contact us message","","","Should send Contact us message",""
"failed","Tue Feb 28 15:21:48 UTC 2023","Tue Feb 28 15:21:49 UTC 2023","19","webkit","contactUsMessage.spec.js","Contact us message","","","Should not send Contact us message due to invalid credentials",""
"failed","Tue Feb 28 15:21:40 UTC 2023","Tue Feb 28 15:21:40 UTC 2023","30","firefox","supportCenterSearch.spec.js","Support center search","","","Should show search results for ""programming""",""
"failed","Tue Feb 28 15:21:51 UTC 2023","Tue Feb 28 15:21:51 UTC 2023","19","webkit","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should not download CSV of prices due to invalid credentials",""
"passed","Tue Feb 28 15:19:57 UTC 2023","Tue Feb 28 15:20:01 UTC 2023","4046","chromium","contactUsMessage.spec.js","Contact us message","","","Should not send Contact us message due to invalid credentials",""
"failed","Tue Feb 28 15:21:29 UTC 2023","Tue Feb 28 15:21:29 UTC 2023","17","firefox","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should not download CSV of prices due to invalid credentials",""
"failed","Tue Feb 28 15:21:28 UTC 2023","Tue Feb 28 15:21:28 UTC 2023","19","firefox","downloadingPricesCSV.spec.js","Downloading prices CSV","","","Should download CSV of prices",""
